Time, Joy, Sadness, Disgust, Contempt, Anger, Fear, Surprise, Valence, Engagement 
10,0,0,0,0,0,0,0,-13,18
10,0,0,0,0,0,0,0,-14,22
10,0,0,0,0,0,0,0,-15,29
10,0,0,0,0,0,0,0,-15,26
10,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
15,0,0,1,0,0,0,3,-64,41
15,0,0,1,0,0,0,3,-65,42
15,0,0,1,0,0,0,3,-62,37
15,0,0,1,0,0,0,3,-59,31
15,0,0,1,0,0,0,3,-56,25
15,0,0,1,0,0,0,2,-48,14
15,0,0,1,0,0,0,3,-41,8
15,0,0,1,0,0,0,3,-32,4
20,100,0,50,0,0,0,17,46,100
20,100,0,84,0,0,0,16,31,100
20,100,0,98,0,0,0,15,5,100
20,100,0,99,0,0,0,15,0,100
20,100,0,100,0,0,0,15,0,100
20,100,0,100,0,0,0,15,0,100
20,100,0,100,0,0,0,15,0,100
25,0,1,100,0,0,0,0,-93,100
25,0,37,100,0,1,0,0,-80,100
25,0,95,100,1,3,0,0,-75,100
25,0,100,99,1,13,0,0,-62,100
25,0,100,99,1,11,0,0,-51,100
25,0,100,95,0,7,0,0,-33,100
25,0,98,74,0,4,0,0,-10,100
25,0,89,18,0,2,0,0,0,100
30,0,0,0,0,0,0,0,-66,50
30,0,0,0,0,0,0,0,-66,50
30,0,0,0,0,0,0,0,-66,50
30,0,0,0,0,0,0,0,-66,50
30,0,0,0,0,0,0,0,-66,50
30,0,0,0,0,0,0,0,-66,50
30,0,0,1,0,0,0,0,-66,50
35,100,0,0,0,0,0,0,77,100
35,96,0,0,0,0,0,0,66,99
35,0,0,0,0,0,0,0,0,9
35,0,0,1,1,0,0,0,-25,36
35,0,0,4,1,0,0,1,-31,53
35,0,0,20,1,0,0,4,-31,43
35,0,0,64,0,0,1,8,-30,68
35,0,0,62,1,0,1,8,-22,63
40,6,0,0,0,0,0,44,33,100
40,0,0,0,91,0,12,44,9,99
40,0,0,0,99,0,13,44,15,98
40,0,0,0,99,0,6,44,19,91
40,0,0,0,99,0,5,44,15,88
40,0,0,0,99,0,4,44,20,86
40,0,0,0,99,0,3,44,23,96
40,0,0,0,99,0,3,44,25,92
45,0,0,0,0,0,46,1,0,0
45,0,0,0,0,0,46,1,0,0
45,0,0,0,0,0,44,1,0,0
45,0,0,0,0,0,41,1,0,0
45,0,0,0,0,0,9,0,0,0
45,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,1,-38,28
50,0,0,0,0,0,0,1,-55,62
50,0,0,0,0,0,1,1,-63,70
50,0,0,0,0,0,1,1,-66,64
50,0,0,0,0,0,1,1,-66,61
50,0,0,0,0,0,0,2,-66,55
50,0,0,0,0,0,0,2,-66,54
55,0,11,0,0,0,0,7,-100,81
55,0,5,0,0,0,0,12,-100,65
55,0,4,0,0,0,1,22,-100,44
55,0,3,1,0,0,2,30,-90,33
55,0,3,1,0,0,2,31,-86,26
55,0,2,1,0,0,2,34,-83,20
55,0,1,1,0,0,3,37,-76,11
55,0,1,1,0,0,5,38,-69,7
55,0,1,1,0,0,6,34,-67,5
60,0,0,2,0,0,3,6,-32,37
60,0,0,2,0,0,3,5,-24,37
60,0,0,2,0,0,4,5,-18,38
60,0,0,2,0,0,2,4,-10,39
60,0,0,2,0,0,1,4,-1,39
60,0,0,2,0,0,0,3,0,40
60,0,0,2,0,0,0,3,0,42
60,0,0,2,0,0,0,3,0,42
65,0,0,95,0,0,0,0,-95,100
65,0,0,96,0,0,0,0,-93,100
65,0,0,97,0,0,0,0,-93,100
65,0,0,97,0,0,0,0,-95,100
65,0,0,98,0,0,0,0,-95,100
65,0,0,98,0,0,0,0,-93,100
65,0,0,97,0,0,0,0,-93,100
65,0,0,96,0,0,0,0,-93,100
