Time, Joy, Sadness, Disgust, Contempt, Anger, Fear, Surprise, Valence, Engagement 
10,0,0,0,0,0,0,0,0,0
10,0,0,1,0,0,0,0,0,0
10,0,0,1,0,0,0,0,0,0
10,0,0,1,0,0,0,0,0,0
10,0,0,1,0,0,0,0,0,0
15,0,1,0,0,0,0,0,-2,2
15,0,7,0,1,2,0,0,-12,16
15,0,16,0,1,5,0,0,-16,33
15,0,11,0,1,3,0,0,-14,25
15,0,1,0,1,0,0,0,-4,3
15,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,3,0,1
15,0,0,0,0,0,0,43,0,35
15,0,0,0,0,0,1,58,0,49
20,0,1,0,1,0,0,0,-6,5
20,0,17,0,1,11,0,0,-17,38
20,0,26,0,1,34,0,0,-20,51
20,0,27,1,1,47,0,0,-21,59
20,0,23,0,1,52,0,0,-26,79
20,0,17,0,1,60,0,0,-34,95
20,0,15,0,1,65,0,0,-37,97
20,0,15,0,1,55,0,0,-36,97
